FlowId,Source,SrcPort,Destination,DstPort,TxPackets,RxPackets,LostPackets,PDR(%),AvgDelay(ms),Jitter(ms),Throughput(Mbps)
145,10.1.0.5,49163,10.1.0.12,10085,1511,465,970,30.7743,454.0441,39.6876,0.0208
146,10.1.0.5,49164,10.1.0.13,10086,1510,482,977,31.9205,451.4652,32.6510,0.0216
147,10.1.0.5,49165,10.1.0.14,10087,1510,476,985,31.5232,457.5278,39.1437,0.0213
148,10.1.0.5,49166,10.1.0.15,10088,1510,572,868,37.8808,449.0965,35.0235,0.0256
149,10.1.0.5,49167,10.1.0.16,10089,1509,500,934,33.1345,471.0320,52.5149,0.0224
150,10.1.0.5,49168,10.1.0.17,10090,1509,500,954,33.1345,458.5700,36.3325,0.0226
151,10.1.0.5,49169,10.1.0.18,10091,1508,517,934,34.2838,460.8331,37.2716,0.0232
152,10.1.0.5,49170,10.1.0.19,10092,1508,408,1028,27.0557,465.0198,39.9542,0.0184
153,10.1.0.5,49171,10.1.0.20,10093,1508,390,1038,25.8621,449.1976,43.5196,0.0176
154,10.1.0.6,49153,10.1.0.1,10094,1507,424,1015,28.1354,477.0255,46.6553,0.0190
155,10.1.0.6,49154,10.1.0.2,10095,1507,494,942,32.7804,489.4018,46.5455,0.0222
156,10.1.0.6,49155,10.1.0.3,10096,1506,432,991,28.6853,497.1094,57.4843,0.0194
157,10.1.0.6,49156,10.1.0.4,10097,1506,410,1036,27.2244,458.5832,31.9601,0.0184
158,10.1.0.6,49157,10.1.0.5,10098,1506,440,1009,29.2165,462.1665,37.2286,0.0198
159,10.1.0.6,49158,10.1.0.7,10099,1505,448,983,29.7674,466.8197,36.0824,0.0201
160,10.1.0.6,49159,10.1.0.8,10100,1505,446,997,29.6346,461.6048,39.6720,0.0200
161,10.1.0.6,49160,10.1.0.9,10101,1504,464,968,30.8511,469.6117,29.8922,0.0209
162,10.1.0.6,49161,10.1.0.10,10102,1504,476,958,31.6489,461.0382,29.2939,0.0214
163,10.1.0.6,49162,10.1.0.11,10103,1503,420,1019,27.9441,468.1866,56.2132,0.0189
164,10.1.0.6,49163,10.1.0.12,10104,1503,532,896,35.3959,470.9921,37.6713,0.0241
165,10.1.0.6,49164,10.1.0.13,10105,1503,508,926,33.7991,455.3379,29.7383,0.0229
166,10.1.0.6,49165,10.1.0.14,10106,1502,501,933,33.3555,463.2085,32.1901,0.0226
167,10.1.0.6,49166,10.1.0.15,10107,1502,420,1005,27.9627,483.6154,35.9853,0.0189
168,10.1.0.6,49167,10.1.0.16,10108,1501,468,959,31.1792,485.4259,49.0677,0.0211
169,10.1.0.6,49168,10.1.0.17,10109,1501,545,891,36.3091,470.7633,34.3197,0.0248
170,10.1.0.6,49169,10.1.0.18,10110,1501,483,940,32.1785,466.2787,40.6147,0.0218
172,10.1.0.6,49170,10.1.0.19,10111,1500,439,983,29.2667,456.6024,29.1458,0.0199
178,10.1.0.6,49171,10.1.0.20,10112,1500,429,1000,28.6000,486.2890,35.3718,0.0194
186,10.1.0.7,49153,10.1.0.1,10113,1499,505,937,33.6891,450.2401,40.1676,0.0228
189,10.1.0.7,49154,10.1.0.2,10114,1499,537,886,35.8239,461.6354,42.8406,0.0242
191,10.1.0.7,49155,10.1.0.3,10115,1499,503,936,33.5557,447.9777,34.0445,0.0227
193,10.1.0.7,49156,10.1.0.4,10116,1498,478,947,31.9092,450.2903,43.2079,0.0217
195,10.1.0.7,49157,10.1.0.5,10117,1498,471,962,31.4419,455.3882,42.2402,0.0213
197,10.1.0.7,49158,10.1.0.6,10118,1497,449,974,29.9933,494.2649,48.8385,0.0203
200,10.1.0.7,49159,10.1.0.8,10119,1497,537,889,35.8717,466.6118,50.4761,0.0243
202,10.1.0.7,49160,10.1.0.9,10120,1496,557,860,37.2326,468.1795,44.0974,0.0252
203,10.1.0.7,49161,10.1.0.10,10121,1496,563,862,37.6337,447.6158,35.5718,0.0255
204,10.1.0.7,49162,10.1.0.11,10122,1496,544,884,36.3636,454.0847,40.5028,0.0246
205,10.1.0.7,49163,10.1.0.12,10123,1495,492,932,32.9097,475.3404,43.7667,0.0223
206,10.1.0.7,49164,10.1.0.13,10124,1495,483,949,32.3077,479.1839,37.8356,0.0219
210,10.1.0.7,49165,10.1.0.14,10125,1494,541,867,36.2115,484.4705,42.6164,0.0245
214,10.1.0.7,49166,10.1.0.15,10126,1494,524,924,35.0736,471.1642,55.9259,0.0238
215,10.1.0.7,49167,10.1.0.16,10127,1494,597,830,39.9598,452.7994,35.9277,0.0271
216,10.1.0.7,49168,10.1.0.17,10128,1493,524,904,35.0971,475.9380,42.8880,0.0239
217,10.1.0.7,49169,10.1.0.18,10129,1493,489,927,32.7528,462.2610,48.8108,0.0222
218,10.1.0.7,49170,10.1.0.19,10130,1492,435,995,29.1555,479.8758,54.8380,0.0198
219,10.1.0.7,49171,10.1.0.20,10131,1492,5,1331,0.3351,934.9002,125.8573,0.0003
220,10.1.0.8,49153,10.1.0.1,10132,1492,421,989,28.2172,460.3376,36.7197,0.0191
221,10.1.0.8,49154,10.1.0.2,10133,1491,406,1017,27.2300,463.0829,45.5385,0.0184
222,10.1.0.8,49155,10.1.0.3,10134,1491,5,1340,0.3353,947.6295,47.3323,0.0002
223,10.1.0.8,49156,10.1.0.4,10135,1490,433,990,29.0604,477.1489,47.9919,0.0196
224,10.1.0.8,49157,10.1.0.5,10136,1490,413,1011,27.7181,473.3595,42.6947,0.0189
225,10.1.0.8,49158,10.1.0.6,10137,1489,403,1034,27.0651,481.3477,38.3784,0.0183
226,10.1.0.8,49159,10.1.0.7,10138,1489,401,1017,26.9308,514.7769,53.8044,0.0182
227,10.1.0.8,49160,10.1.0.9,10139,1489,469,937,31.4976,473.5922,40.6471,0.0213
228,10.1.0.8,49161,10.1.0.10,10140,1488,405,1021,27.2177,487.2987,49.9022,0.0184
229,10.1.0.8,49162,10.1.0.11,10141,1488,465,955,31.2500,470.0184,34.7653,0.0211
230,10.1.0.8,49163,10.1.0.12,10142,1487,387,1024,26.0256,476.4925,43.5678,0.0176
231,10.1.0.8,49164,10.1.0.13,10143,1487,440,985,29.5898,472.4022,48.3255,0.0200
232,10.1.0.8,49165,10.1.0.14,10144,1487,444,967,29.8588,467.5012,37.8097,0.0202
233,10.1.0.8,49166,10.1.0.15,10145,1486,378,1049,25.4374,476.9074,43.3715,0.0172
234,10.1.0.8,49167,10.1.0.16,10146,1486,490,917,32.9744,466.5666,37.9694,0.0223
235,10.1.0.8,49168,10.1.0.17,10147,1485,422,1005,28.4175,468.2885,35.2171,0.0192
236,10.1.0.8,49169,10.1.0.18,10148,1485,426,994,28.6869,478.8867,39.8414,0.0194
237,10.1.0.8,49170,10.1.0.19,10149,1485,354,1066,23.8384,502.7403,63.9471,0.0161
238,10.1.0.8,49171,10.1.0.20,10150,1484,380,1018,25.6065,491.1928,46.2131,0.0173
249,10.1.0.9,49153,10.1.0.1,10151,1484,432,979,29.1105,483.0493,59.1396,0.0197
253,10.1.0.9,49154,10.1.0.2,10152,1483,469,933,31.6251,467.4069,47.4746,0.0214
257,10.1.0.9,49155,10.1.0.3,10153,1483,425,968,28.6581,499.6760,53.5549,0.0194
258,10.1.0.9,49156,10.1.0.4,10154,1482,440,971,29.6896,495.2491,52.5154,0.0201
260,10.1.0.9,49157,10.1.0.5,10155,1482,6,1320,0.4049,879.8632,140.2583,0.0003
262,10.1.0.9,49158,10.1.0.6,10156,1482,413,997,27.8677,464.2431,41.3059,0.0188
263,10.1.0.9,49159,10.1.0.7,10157,1481,427,984,28.8319,512.9304,56.8742,0.0195
267,10.1.0.9,49160,10.1.0.8,10158,1481,433,986,29.2370,476.0829,47.3018,0.0198
268,10.1.0.9,49161,10.1.0.10,10159,1480,402,1010,27.1622,451.3596,34.8473,0.0184
270,10.1.0.9,49162,10.1.0.11,10160,1480,434,989,29.3243,471.6036,52.0537,0.0199
271,10.1.0.9,49163,10.1.0.12,10161,1480,457,941,30.8784,469.8200,56.1056,0.0209
272,10.1.0.9,49164,10.1.0.13,10162,1479,485,903,32.7924,459.7525,35.0084,0.0222
274,10.1.0.9,49165,10.1.0.14,10163,1479,440,950,29.7498,462.8182,43.9792,0.0201
275,10.1.0.9,49166,10.1.0.15,10164,1478,424,980,28.6874,490.9644,65.3863,0.0194
276,10.1.0.9,49167,10.1.0.16,10165,1478,500,911,33.8295,464.2920,38.8678,0.0229
277,10.1.0.9,49168,10.1.0.17,10166,1478,420,980,28.4168,465.3798,50.5774,0.0193
279,10.1.0.9,49169,10.1.0.18,10167,1477,496,893,33.5816,494.7749,64.2756,0.0227
282,10.1.0.9,49170,10.1.0.19,10168,1477,6,1315,0.4062,896.3621,77.5024,0.0003
283,10.1.0.9,49171,10.1.0.20,10169,1476,386,982,26.1518,465.7924,44.3880,0.0178
284,10.1.0.10,49153,10.1.0.1,10170,1476,446,950,30.2168,483.5541,43.7069,0.0205
285,10.1.0.10,49154,10.1.0.2,10171,1475,427,980,28.9492,483.1057,43.9351,0.0195
286,10.1.0.10,49155,10.1.0.3,10172,1475,460,944,31.1864,492.1970,58.9960,0.0212
287,10.1.0.10,49156,10.1.0.4,10173,1475,392,999,26.5763,497.5630,48.2296,0.0180
288,10.1.0.10,49157,10.1.0.5,10174,1474,423,978,28.6974,485.8332,46.7851,0.0195
289,10.1.0.10,49158,10.1.0.6,10175,1474,399,988,27.0692,492.4410,38.8907,0.0184
290,10.1.0.10,49159,10.1.0.7,10176,1473,3,1315,0.2037,963.5910,15.3632,0.0003
291,10.1.0.10,49160,10.1.0.8,10177,1473,455,952,30.8893,482.7851,42.6900,0.0210
292,10.1.0.10,49161,10.1.0.9,10178,1473,448,964,30.4141,478.5239,39.7055,0.0205
